WBGene00000527,cle-1
WBGene00001263,emb-9
WBGene00001660,gop-1
WBGene00002252,lat-2
WBGene00002280,let-2
WBGene00006620,svh-1
WBGene00007152,clec-225
WBGene00007153,clec-41
WBGene00007282,clec-223
WBGene00007283,clec-222
WBGene00007313,clec-147
WBGene00007372,C06B8.7
WBGene00007399,clec-162
WBGene00007565,clec-48
WBGene00007709,clec-87
WBGene00007729,clec-185
WBGene00007805,clec-231
WBGene00007806,clec-230
WBGene00007820,clec-199
WBGene00007822,clec-202
WBGene00007851,clec-245
WBGene00007897,clec-182
WBGene00008188,clec-115
WBGene00008190,clec-114
WBGene00008201,C49C3.11
WBGene00008202,clec-197
WBGene00008203,clec-198
WBGene00008294,clec-11
WBGene00008314,C54G4.4
WBGene00008477,clec-17
WBGene00008593,clec-227
WBGene00008594,clec-57
WBGene00008595,clec-56
WBGene00008596,clec-54
WBGene00008597,clec-55
WBGene00008659,clec-151
WBGene00008660,clec-153
WBGene00008696,clec-255
WBGene00008700,clec-254
WBGene00008702,clec-252
WBGene00008703,clec-251
WBGene00008853,clec-101
WBGene00008891,clec-42
WBGene00008892,clec-246
WBGene00008907,clec-109
WBGene00008909,clec-110
WBGene00008916,clec-221
WBGene00009030,clec-233
WBGene00009114,F25D7.5
WBGene00009150,clec-234
WBGene00009156,clec-196
WBGene00009171,clec-263
WBGene00009252,F29D10.3
WBGene00009291,clec-264
WBGene00009359,clec-102
WBGene00009393,clec-62
WBGene00009394,clec-63
WBGene00009395,clec-64
WBGene00009396,clec-65
WBGene00009397,clec-66
WBGene00009487,clec-232
WBGene00009515,clec-170
WBGene00009517,clec-167
WBGene00009518,clec-166
WBGene00009520,clec-168
WBGene00009523,clec-165
WBGene00009526,clec-169
WBGene00009538,clec-191
WBGene00009822,clec-113
WBGene00009844,cwp-5
WBGene00009854,clec-31
WBGene00009855,clec-22
WBGene00009856,clec-24
WBGene00009857,clec-28
WBGene00009859,clec-33
WBGene00009860,clec-32
WBGene00009905,clec-240
WBGene00009906,clec-241
WBGene00010134,F55H12.3
WBGene00010169,clec-18
WBGene00010228,clec-161
WBGene00010355,clec-229
WBGene00010399,clec-13
WBGene00010576,clec-116
WBGene00010577,K04H8.2
WBGene00010928,clec-258
WBGene00010953,clec-190
WBGene00010954,clec-189
WBGene00011186,clec-226
WBGene00011584,clec-15
WBGene00011668,clec-47
WBGene00011852,clec-26
WBGene00011853,clec-40
WBGene00011855,clec-183
WBGene00012018,T25C12.3
WBGene00012022,clec-39
WBGene00012023,clec-34
WBGene00012024,clec-29
WBGene00012025,clec-38
WBGene00012036,clec-103
WBGene00012086,clec-144
WBGene00012103,clec-12
WBGene00012251,clec-49
WBGene00012253,clec-50
WBGene00012454,clec-256
WBGene00012480,clec-104
WBGene00012482,clec-106
WBGene00012488,clec-105
WBGene00012500,hpo-2
WBGene00012502,clec-107
WBGene00012504,clec-108
WBGene00012582,clec-8
WBGene00012583,clec-4
WBGene00012621,Y38H6C.8
WBGene00012661,clec-163
WBGene00013008,clec-146
WBGene00013013,clec-145
WBGene00013058,clec-247
WBGene00013062,Y51A2A.6
WBGene00013125,clec-92
WBGene00013179,clec-100
WBGene00013357,clec-260
WBGene00013470,clec-243
WBGene00013471,clec-242
WBGene00013493,clec-9
WBGene00013502,clec-111
WBGene00013503,clec-112
WBGene00013607,clec-27
WBGene00013608,clec-35
WBGene00013609,clec-37
WBGene00013621,clec-239
WBGene00013622,clec-238
WBGene00013774,clec-193
WBGene00013778,clec-194
WBGene00013798,clec-195
WBGene00013831,clec-262
WBGene00013834,clec-261
WBGene00013927,clec-95
WBGene00013928,clec-94
WBGene00013929,clec-93
WBGene00013930,clec-96
WBGene00013931,clec-97
WBGene00013932,clec-98
WBGene00013933,clec-99
WBGene00014043,clec-58
WBGene00014045,clec-59
WBGene00014046,clec-60
WBGene00014047,clec-61
WBGene00014063,clec-143
WBGene00014117,clec-91
WBGene00014137,clec-187
WBGene00014138,clec-186
WBGene00015050,clec-51
WBGene00015052,clec-52
WBGene00015193,clec-117
WBGene00015198,clec-2
WBGene00015403,clec-10
WBGene00015631,clec-89
WBGene00015821,clec-135
WBGene00015909,clec-124
WBGene00016088,clec-266
WBGene00016354,rig-6
WBGene00016450,clec-5
WBGene00016451,clec-6
WBGene00016577,clec-3
WBGene00016597,clec-179
WBGene00016619,C43H6.6
WBGene00016813,clec-214
WBGene00016815,clec-213
WBGene00016912,clec-86
WBGene00017139,clec-141
WBGene00017199,clec-45
WBGene00017322,clec-160
WBGene00017364,clec-7
WBGene00017603,clec-212
WBGene00017772,clec-1
WBGene00017809,clec-156
WBGene00017810,clec-157
WBGene00017822,clec-216
WBGene00017824,clec-217
WBGene00017892,F28B4.3
WBGene00017918,F29A7.8
WBGene00017991,clec-180
WBGene00018047,clec-136
WBGene00018048,clec-137
WBGene00018049,clec-138
WBGene00018050,clec-139
WBGene00018096,clec-207
WBGene00018097,clec-208
WBGene00018105,clec-19
WBGene00018237,irg-7
WBGene00018246,clec-148
WBGene00018547,clec-78
WBGene00018548,clec-79
WBGene00018575,clec-119
WBGene00018692,F52E1.2
WBGene00018910,F56A4.2
WBGene00018970,clec-68
WBGene00018971,clec-67
WBGene00019089,clec-206
WBGene00019328,clec-149
WBGene00019606,clec-88
WBGene00019738,clec-265
WBGene00019914,clec-150
WBGene00019917,clec-43
WBGene00019950,clec-175
WBGene00020067,clec-158
WBGene00020191,clec-53
WBGene00020220,clec-140
WBGene00020327,clec-21
WBGene00020328,clec-20
WBGene00020516,T15B7.1
WBGene00020585,clec-178
WBGene00020938,clec-218
WBGene00020945,clec-219
WBGene00021032,clec-118
WBGene00021117,clec-126
WBGene00021118,clec-125
WBGene00021138,clec-127
WBGene00021139,clec-128
WBGene00021141,clec-134
WBGene00021142,clec-133
WBGene00021143,clec-132
WBGene00021144,clec-130
WBGene00021145,clec-129
WBGene00021224,clec-209
WBGene00021288,clec-123
WBGene00021290,clec-122
WBGene00021291,clec-121
WBGene00021579,clec-73
WBGene00021580,clec-174
WBGene00021581,clec-70
WBGene00021582,clec-71
WBGene00021583,clec-72
WBGene00021585,clec-74
WBGene00021586,clec-75
WBGene00021587,clec-76
WBGene00021602,clec-205
WBGene00021603,clec-204
WBGene00021744,clec-203
WBGene00021872,clec-85
WBGene00021873,clec-82
WBGene00021879,clec-83
WBGene00021895,clec-84
WBGene00021949,clec-164
WBGene00022261,clec-210
WBGene00022442,Y110A2AL.5
WBGene00022858,ZK1193.2
WBGene00023484,Y54G2A.37
WBGene00023502,clec-184
WBGene00043062,clec-80
WBGene00043702,Y54G2A.7
WBGene00044086,clec-228
WBGene00044331,clec-25
WBGene00044332,clec-36
WBGene00044469,clec-173
WBGene00044511,clec-181
WBGene00044549,clec-215
WBGene00044550,C50E3.15
WBGene00044719,clec-172
WBGene00044790,clec-224
WBGene00044892,clec-257
WBGene00045122,F22B3.10
WBGene00045364,clec-250
WBGene00138716,F17B5.10
WBGene00255469,C25G4.17
WBGene00255546,M199.136
WBGene00271795,Y46C8AM.1
WBGene00271816,R02F11.12
