WBGene00000018,abl-1
WBGene00000090,age-1
WBGene00000098,air-1
WBGene00000099,air-2
WBGene00000102,akt-1
WBGene00000103,akt-2
WBGene00000186,ark-1
WBGene00000226,atl-1
WBGene00000227,atm-1
WBGene00000275,bub-1
WBGene00000289,cam-1
WBGene00000405,cdk-1
WBGene00000406,cdk-4
WBGene00000407,cdk-5
WBGene00000408,cdk-7
WBGene00000409,cdk-8
WBGene00000410,cdk-9
WBGene00000498,chk-1
WBGene00000499,chk-2
WBGene00000509,cka-1
WBGene00000510,cka-2
WBGene00000511,ckb-1
WBGene00000512,ckb-2
WBGene00000513,ckb-3
WBGene00000514,ckb-4
WBGene00000515,ckc-1
WBGene00000518,ckk-1
WBGene00000553,cmk-1
WBGene00000767,coq-8
WBGene00000812,csk-1
WBGene00000897,daf-1
WBGene00000898,daf-2
WBGene00000900,daf-4
WBGene00000907,daf-11
WBGene00001008,dlk-1
WBGene00001121,dyf-5
WBGene00001160,efk-1
WBGene00001173,egl-4
WBGene00001184,egl-15
WBGene00001468,flr-4
WBGene00001487,frk-1
WBGene00001526,gck-1
WBGene00001528,gcy-1
WBGene00001530,gcy-3
WBGene00001531,gcy-4
WBGene00001532,gcy-5
WBGene00001533,gcy-6
WBGene00001534,gcy-7
WBGene00001535,gcy-8
WBGene00001536,gcy-9
WBGene00001537,gcy-11
WBGene00001538,gcy-12
WBGene00001539,gcy-13
WBGene00001540,gcy-14
WBGene00001541,gcy-15
WBGene00001542,gcy-17
WBGene00001543,gcy-18
WBGene00001544,gcy-19
WBGene00001545,gcy-20
WBGene00001546,gcy-21
WBGene00001547,gcy-22
WBGene00001548,gcy-23
WBGene00001549,gcy-25
WBGene00001550,gcy-27
WBGene00001708,grk-1
WBGene00001709,grk-2
WBGene00001746,gsk-3
WBGene00001994,hpk-1
WBGene00002147,ire-1
WBGene00002177,jkk-1
WBGene00002178,jnk-1
WBGene00002187,kgb-1
WBGene00002188,kgb-2
WBGene00002189,kin-1
WBGene00002191,kin-3
WBGene00002192,kin-4
WBGene00002193,kin-5
WBGene00002195,kin-9
WBGene00002198,kin-14
WBGene00002199,kin-15
WBGene00002200,kin-16
WBGene00002201,kin-18
WBGene00002202,kin-19
WBGene00002203,kin-20
WBGene00002204,kin-21
WBGene00002206,kin-24
WBGene00002207,sid-3
WBGene00002208,kin-26
WBGene00002210,kin-29
WBGene00002211,kin-30
WBGene00002213,kin-32
WBGene00002239,ksr-1
WBGene00002240,ksr-2
WBGene00002299,let-23
WBGene00002583,let-363
WBGene00002694,let-502
WBGene00002991,lin-2
WBGene00003007,lin-18
WBGene00003030,lin-45
WBGene00003048,lit-1
WBGene00003068,lrk-1
WBGene00003144,max-2
WBGene00003149,mbk-1
WBGene00003150,mbk-2
WBGene00003185,mek-1
WBGene00003186,mek-2
WBGene00003219,mes-1
WBGene00003247,mig-15
WBGene00003368,mkk-4
WBGene00003374,mlk-1
WBGene00003396,mom-4
WBGene00003400,dapk-1
WBGene00003401,mpk-1
WBGene00003402,mpk-2
WBGene00003472,mtk-1
WBGene00003822,nsy-1
WBGene00003848,odr-1
WBGene00003862,old-1
WBGene00003863,old-2
WBGene00003911,pak-1
WBGene00003916,par-1
WBGene00003919,par-4
WBGene00003931,pat-4
WBGene00003961,pct-1
WBGene00003965,pdk-1
WBGene00003970,pek-1
WBGene00004029,pik-1
WBGene00004032,pkc-1
WBGene00004033,pkc-2
WBGene00004034,pkc-3
WBGene00004042,plk-1
WBGene00004043,plk-2
WBGene00004044,plk-3
WBGene00004055,pmk-1
WBGene00004056,pmk-2
WBGene00004057,pmk-3
WBGene00004182,prk-1
WBGene00004183,prk-2
WBGene00004186,prpf-4
WBGene00004395,rol-3
WBGene00004719,sad-1
WBGene00004727,sax-1
WBGene00004740,scd-2
WBGene00004758,sek-1
WBGene00004762,sel-5
WBGene00004789,sgk-1
WBGene00004859,sma-5
WBGene00004860,sma-6
WBGene00004879,smg-1
WBGene00004960,spe-6
WBGene00004962,spe-8
WBGene00004980,spk-1
WBGene00005077,src-1
WBGene00005078,src-2
WBGene00006436,ttn-1
WBGene00006437,mrck-1
WBGene00006443,pak-2
WBGene00006517,madd-3
WBGene00006579,tlk-1
WBGene00006599,tpa-1
WBGene00006759,unc-22
WBGene00006779,unc-43
WBGene00006786,unc-51
WBGene00006814,unc-82
WBGene00006820,unc-89
WBGene00006868,vab-1
WBGene00006894,ver-1
WBGene00006896,ver-3
WBGene00006897,ver-4
WBGene00006932,vps-34
WBGene00006938,wee-1.1
WBGene00006940,wee-1.3
WBGene00006941,wnk-1
WBGene00006971,zak-1
WBGene00006988,zyg-1
WBGene00006993,zyg-8
WBGene00007007,mak-2
WBGene00007028,trr-1
WBGene00007047,wts-1
WBGene00007049,tag-191
WBGene00007116,B0198.3
WBGene00007135,cdk-12
WBGene00007258,hasp-1
WBGene00007269,C03C10.2
WBGene00007287,gck-4
WBGene00007305,ttbk-5
WBGene00007309,C04G2.10
WBGene00007314,gcy-29
WBGene00007335,C05C12.1
WBGene00007448,C08F8.6
WBGene00007563,C14A4.13
WBGene00007777,C27D8.1
WBGene00007791,C28A5.6
WBGene00007810,C29F7.1
WBGene00007811,C29F7.2
WBGene00007977,gska-3
WBGene00008088,C44C10.7
WBGene00008095,C44H4.6
WBGene00008200,C49C3.10
WBGene00008229,C50F4.1
WBGene00008235,C50F4.10
WBGene00008243,C50H2.7
WBGene00008311,rskn-2
WBGene00008410,D2023.6
WBGene00008423,D2045.5
WBGene00008424,D2045.7
WBGene00008464,E02H4.6
WBGene00008599,F09A5.2
WBGene00008711,F11E6.8
WBGene00008883,F16B12.7
WBGene00008956,nekl-3
WBGene00008995,prde-1
WBGene00009039,F22B3.8
WBGene00009115,F25F2.1
WBGene00009160,F26E4.5
WBGene00009324,ttbk-3
WBGene00009326,F32D8.1
WBGene00009402,F35C11.3
WBGene00009552,piki-1
WBGene00009793,pkn-1
WBGene00009867,F49C5.4
WBGene00009877,F49C12.7
WBGene00009921,F52B5.2
WBGene00010096,rskd-1
WBGene00010238,F58B4.5
WBGene00010342,F59F5.3
WBGene00010349,dyf-18
WBGene00010366,H05L14.1
WBGene00010426,H37A05.2
WBGene00010427,hpo-11
WBGene00010555,K04C1.5
WBGene00010681,mak-1
WBGene00010692,K08H2.5
WBGene00010700,nipi-3
WBGene00010712,K09B11.5
WBGene00010719,K09E4.1
WBGene00010838,M03C11.1
WBGene00010874,M05D6.1
WBGene00010883,M7.7
WBGene00010991,R03D7.5
WBGene00011039,R05H5.4
WBGene00011168,R09D1.12
WBGene00011169,R09D1.13
WBGene00011191,R10D12.10
WBGene00011283,ttbk-7
WBGene00011299,ikke-1
WBGene00011304,mnk-1
WBGene00011339,T01G5.1
WBGene00011352,rskn-1
WBGene00011466,T05C12.1
WBGene00011612,T08D2.7
WBGene00011797,T16G1.3
WBGene00011798,T16G1.4
WBGene00011799,T16G1.5
WBGene00011800,T16G1.6
WBGene00011801,T16G1.7
WBGene00011992,T24D5.4
WBGene00012010,T25B9.4
WBGene00012011,T25B9.5
WBGene00012019,dkf-2
WBGene00012159,VY10G11R.1
WBGene00012162,sek-6
WBGene00012169,ttbk-4
WBGene00012172,W01B6.5
WBGene00012207,W02B12.12
WBGene00012270,W04G5.10
WBGene00012307,W06F12.3
WBGene00012337,scyl-1
WBGene00012352,dkf-1
WBGene00012432,Y11D7A.8
WBGene00012586,Y38E10A.8
WBGene00012632,Y38H6C.20
WBGene00012637,Y38H8A.3
WBGene00012638,Y38H8A.4
WBGene00012726,Y39G8B.5
WBGene00012731,Y39G8C.2
WBGene00012779,cdkl-1
WBGene00012785,Y43C5B.2
WBGene00012792,Y43D4A.6
WBGene00012929,rsks-1
WBGene00012981,Y48B6A.10
WBGene00013091,Y51B9A.9
WBGene00013132,strd-1
WBGene00013149,Y53F4B.1
WBGene00013355,gck-3
WBGene00013475,Y69E1A.3
WBGene00013557,Y75B8A.24
WBGene00013591,gcn-2
WBGene00013643,Y105C5A.24
WBGene00013688,riok-2
WBGene00013694,mekk-3
WBGene00013701,Y106G6D.4
WBGene00013705,Y106G6E.1
WBGene00013709,csnk-1
WBGene00013727,Y111B2A.1
WBGene00013801,Y116A8C.24
WBGene00013802,Y116A8C.25
WBGene00013811,Y116A8C.38
WBGene00013868,ZC373.3
WBGene00013869,mlck-1
WBGene00013917,cdk-11.2
WBGene00013978,ZK507.1
WBGene00013994,ZK524.4
WBGene00014007,ZK596.2
WBGene00014012,riok-3
WBGene00014015,panl-3
WBGene00014048,ZK666.8
WBGene00014151,vps-15
WBGene00014192,nhr-246
WBGene00014813,M176.9
WBGene00015030,B0207.7
WBGene00015049,B0218.5
WBGene00015087,B0252.1
WBGene00015203,cdk-11.1
WBGene00015230,tag-344
WBGene00015293,C01C4.3
WBGene00015376,C03B1.5
WBGene00015478,mapk-15
WBGene00015534,C06E4.5
WBGene00015629,C09B9.4
WBGene00015634,C09D4.3
WBGene00015650,pkg-2
WBGene00015893,C17C3.11
WBGene00015963,C18B10.6
WBGene00015994,C18H7.4
WBGene00016030,sel-15
WBGene00016038,cst-2
WBGene00016059,hir-1
WBGene00016085,C25A8.5
WBGene00016104,ddr-1
WBGene00016111,C25H3.1
WBGene00016137,C26E6.1
WBGene00016236,heri-1
WBGene00016352,tbck-1
WBGene00016388,C34B2.3
WBGene00016416,C34F11.5
WBGene00016421,cdc-7
WBGene00016462,C35E7.10
WBGene00016464,C36B7.1
WBGene00016465,C36B7.2
WBGene00016513,C38C3.4
WBGene00016541,C39H7.1
WBGene00016587,C42C1.9
WBGene00016673,ttbk-6
WBGene00016765,C49C8.1
WBGene00016941,C55B6.5
WBGene00016946,C55B7.10
WBGene00016954,C55C3.4
WBGene00016963,C56C10.6
WBGene00016980,C56G2.5
WBGene00017027,D1044.1
WBGene00017033,nekl-4
WBGene00017039,trk-1
WBGene00017050,D2024.1
WBGene00017083,kin-33
WBGene00017092,E02C12.6
WBGene00017094,E02C12.9
WBGene00017095,E02C12.10
WBGene00017096,E02C12.11
WBGene00017137,pink-1
WBGene00017277,F09C12.2
WBGene00017310,F09G2.1
WBGene00017381,ddr-2
WBGene00017472,cst-1
WBGene00017578,drl-1
WBGene00017635,F20D6.5
WBGene00017672,F21F3.2
WBGene00017714,F22F1.2
WBGene00017725,F22H10.1
WBGene00017736,F23C8.7
WBGene00017737,F23C8.8
WBGene00017802,F26A1.3
WBGene00017803,F26A1.4
WBGene00017895,vrk-1
WBGene00017898,F28C10.3
WBGene00017950,F31E3.2
WBGene00018004,F33D11.7
WBGene00018034,sek-5
WBGene00018035,sek-4
WBGene00018076,pifk-1
WBGene00018122,ttbk-2
WBGene00018123,F36H12.9
WBGene00018158,comp-1
WBGene00018178,F38E1.3
WBGene00018202,F39F10.2
WBGene00018203,F39F10.3
WBGene00018301,F41G3.5
WBGene00018516,gakh-1
WBGene00018569,F47F2.1
WBGene00018623,F48G7.12
WBGene00018745,F53C3.1
WBGene00018839,F54H5.2
WBGene00018913,F56A4.5
WBGene00018999,F57B9.8
WBGene00019081,F59A3.8
WBGene00019086,F59A6.4
WBGene00019100,F59B1.8
WBGene00019101,F59B1.10
WBGene00019119,F59E12.3
WBGene00019164,H06H21.8
WBGene00019190,H12I13.1
WBGene00019321,K02E10.7
WBGene00019362,cdk-2
WBGene00019459,K06H7.8
WBGene00019556,K09C6.2
WBGene00019561,K09C6.7
WBGene00019562,K09C6.8
WBGene00019599,acds-10
WBGene00019642,K11C4.1
WBGene00019665,K11H12.9
WBGene00019698,riok-1
WBGene00019769,M04F3.3
WBGene00019801,aak-1
WBGene00019814,R02C2.1
WBGene00019815,kin-34
WBGene00019817,txt-2
WBGene00019911,R06A10.4
WBGene00020003,R11E3.1
WBGene00020071,R13H9.5
WBGene00020072,R13H9.6
WBGene00020106,R151.1
WBGene00020131,gcy-28
WBGene00020142,aak-2
WBGene00020223,T05A7.6
WBGene00020289,T06C10.3
WBGene00020324,T07F12.4
WBGene00020435,T11F8.4
WBGene00020504,svh-2
WBGene00020531,T15B12.2
WBGene00020580,T19D12.5
WBGene00020659,T21G5.1
WBGene00020678,T22B11.4
WBGene00020966,W03A5.1
WBGene00021012,pig-1
WBGene00021016,W03G9.5
WBGene00021022,W04B5.5
WBGene00021109,W09C3.1
WBGene00021214,hasp-2
WBGene00021315,Y32H12A.7
WBGene00021461,nekl-1
WBGene00021567,Y45G12C.4
WBGene00021635,Y47G6A.5
WBGene00021639,Y47G6A.13
WBGene00021745,Y50D4B.6
WBGene00021753,Y50D7A.3
WBGene00021793,Y52D5A.2
WBGene00022032,Y65B4A.9
WBGene00022102,Y69F12A.1
WBGene00022108,Y71F9AL.2
WBGene00022228,Y73B6A.1
WBGene00022519,ZC123.4
WBGene00022603,gck-2
WBGene00022613,sek-3
WBGene00022631,nekl-2
WBGene00022632,ZC581.2
WBGene00022634,ZC581.7
WBGene00022635,ZC581.9
WBGene00022670,ZK177.2
WBGene00022705,ZK354.2
WBGene00022707,ZK354.6
WBGene00022780,ZK622.1
WBGene00044281,R04A9.7
WBGene00044388,C27D6.11
WBGene00044501,C55C3.8
WBGene00077712,nipi-4
WBGene00138717,F52C12.6
WBGene00185089,C16A11.10
WBGene00195081,C04F6.7
WBGene00235269,F59E12.15
WBGene00304811,E02D9.3
