WBGene00000468,ces-1
WBGene00000483,che-1
WBGene00000995,die-1
WBGene00001035,dnj-17
WBGene00001207,egl-43
WBGene00001210,egl-46
WBGene00001223,ehn-3
WBGene00001324,eor-1
WBGene00001439,fkh-7
WBGene00001821,ham-2
WBGene00001824,hbl-1
WBGene00001867,him-8
WBGene00003002,lin-13
WBGene00003012,lin-26
WBGene00003015,lin-29
WBGene00003021,lin-36
WBGene00003033,lin-48
WBGene00003044,lir-1
WBGene00003045,lir-2
WBGene00003046,lir-3
WBGene00003087,lsy-2
WBGene00003218,mep-1
WBGene00003380,mnm-2
WBGene00003480,klf-3
WBGene00003845,odd-1
WBGene00003846,odd-2
WBGene00003847,blmp-1
WBGene00003909,pag-3
WBGene00003933,pat-9
WBGene00004096,pqm-1
WBGene00004111,pqn-21
WBGene00004335,ref-2
WBGene00004745,sdc-1
WBGene00004747,sdc-3
WBGene00004751,sea-2
WBGene00004773,sem-4
WBGene00004862,sma-9
WBGene00005008,spr-3
WBGene00005009,spr-4
WBGene00005011,F26F4.8
WBGene00006342,sup-37
WBGene00006492,let-391
WBGene00006580,tlp-1
WBGene00006604,tra-1
WBGene00006970,zag-1
WBGene00007042,pbrm-1
WBGene00007063,2L52.1
WBGene00007105,znf-207
WBGene00007223,C01F6.9
WBGene00007433,swsn-7
WBGene00007772,egrh-1
WBGene00008007,C38D4.7
WBGene00008363,D1046.2
WBGene00008417,D2030.7
WBGene00008640,F10B5.3
WBGene00008683,repo-1
WBGene00008762,ztf-2
WBGene00009014,F21D5.9
WBGene00009026,F21G4.5
WBGene00009190,F27D4.6
WBGene00009365,F33H1.4
WBGene00009448,zfp-2
WBGene00009508,row-1
WBGene00009553,hinf-1
WBGene00009687,F44D12.10
WBGene00009743,sptf-1
WBGene00009772,ztf-7
WBGene00009834,lsy-27
WBGene00009923,F52B5.7
WBGene00009937,lsl-1
WBGene00009939,ztf-11
WBGene00009998,klf-2
WBGene00010012,saeg-1
WBGene00010137,ztf-26
WBGene00010264,F58G1.2
WBGene00010401,H16D19.3
WBGene00010453,fozi-1
WBGene00010553,K04C1.3
WBGene00010770,K11D2.4
WBGene00010868,somi-1
WBGene00010936,ztf-14
WBGene00011066,ztf-15
WBGene00011113,R07E5.5
WBGene00011206,R10E4.11
WBGene00011505,pzf-1
WBGene00011547,T06G6.5
WBGene00011583,T07D10.3
WBGene00011597,zim-1
WBGene00011600,zim-2
WBGene00011601,zim-3
WBGene00011626,T08G5.7
WBGene00011639,ztf-17
WBGene00011661,ztf-27
WBGene00011696,eea-1
WBGene00011924,T22C8.3
WBGene00011925,T22C8.4
WBGene00011926,sptf-2
WBGene00011956,T23F11.4
WBGene00012243,W04D2.4
WBGene00012317,ztf-6
WBGene00012385,Y5F2A.4
WBGene00012405,ztf-25
WBGene00012473,Y17G7B.22
WBGene00012639,fezf-1
WBGene00012702,ztf-20
WBGene00012735,sptf-3
WBGene00012976,sup-35
WBGene00012988,ztf-22
WBGene00013006,lin-38
WBGene00013096,mcd-1
WBGene00013128,dxbp-1
WBGene00013152,Y53F4B.5
WBGene00013178,Y53H1A.2
WBGene00013236,Y56A3A.18
WBGene00013240,Y56A3A.28
WBGene00013270,Y57A10A.31
WBGene00013350,slr-2
WBGene00013438,ztf-29
WBGene00013465,Y67H2A.10
WBGene00013505,Y71A12B.8
WBGene00013580,Y79H2A.3
WBGene00013734,Y111B2A.10
WBGene00013966,ztf-9
WBGene00013970,klu-1
WBGene00014131,sdz-38
WBGene00015138,B0310.2
WBGene00015352,C02F5.12
WBGene00015451,C04F5.9
WBGene00015523,ztf-30
WBGene00015527,C06E2.1
WBGene00015649,C09F5.3
WBGene00015809,C16A3.4
WBGene00016154,szy-5
WBGene00016189,sprp-4
WBGene00016200,dpff-1
WBGene00016712,C46E10.8
WBGene00016713,C46E10.9
WBGene00016888,znf-598
WBGene00016890,lst-5
WBGene00016905,ztf-3
WBGene00016948,scrt-1
WBGene00017406,sdz-12
WBGene00017430,bcl-11
WBGene00017651,F21A9.2
WBGene00017814,F26A10.2
WBGene00017967,ada-2
WBGene00018099,ztf-28
WBGene00018140,F37B4.10
WBGene00018248,F40G9.14
WBGene00018420,F44E2.7
WBGene00018567,F47E1.3
WBGene00018704,ztf-13
WBGene00018740,tra-4
WBGene00018794,attf-3
WBGene00018833,ztf-1
WBGene00018959,F56D1.1
WBGene00018990,klf-1
WBGene00019011,F57C9.4
WBGene00019299,snai-1
WBGene00019407,lect-2
WBGene00019598,K09H9.7
WBGene00019611,K10B3.5
WBGene00019629,cid-1
WBGene00019651,K11D12.12
WBGene00019691,K12H6.12
WBGene00019751,M03D4.4
WBGene00019824,R02D3.7
WBGene00019878,R05D3.3
WBGene00019960,ztf-16
WBGene00020093,R144.3
WBGene00020399,ztf-4
WBGene00020630,T20F7.1
WBGene00020635,T20H4.2
WBGene00020763,ztf-18
WBGene00020942,W02D7.6
WBGene00021000,W03F9.2
WBGene00021019,W04B5.2
WBGene00021254,Y22D7AL.16
WBGene00021374,Y37E11B.1
WBGene00021387,Y37F4.6
WBGene00021538,rabs-5
WBGene00021637,Y47G6A.7
WBGene00021689,Y48G8AL.10
WBGene00021704,Y48G9A.11
WBGene00021846,ztf-23
WBGene00021931,Y55F3AM.14
WBGene00022334,Y82E9BR.1
WBGene00022349,Y82E9BR.17
WBGene00022388,Y95B8A.8
WBGene00022518,zfh-2
WBGene00022592,klu-2
WBGene00022598,ztf-8
WBGene00022671,ZK177.3
WBGene00022681,ZK185.1
WBGene00022762,ZK546.5
WBGene00022785,ZK652.6
WBGene00022794,snu-23
WBGene00022795,ZK686.5
WBGene00043705,egrh-2
WBGene00044068,syd-9
WBGene00044386,C27A2.7
WBGene00044651,egrh-3
WBGene00044791,bnc-1
